"mcdm_table_name","mcdm_field_name","mcdm_field_value_type"
paid_ads__basic_performance,ad_id,string
paid_ads__basic_performance,add_to_cart,int64
paid_ads__basic_performance,adset_id,string
paid_ads__basic_performance,campaign_id,string
paid_ads__basic_performance,channel,string
paid_ads__basic_performance,clicks,int64
paid_ads__basic_performance,comments,int64
paid_ads__basic_performance,creative_id,string
paid_ads__basic_performance,date,date
paid_ads__basic_performance,engagements,int64
paid_ads__basic_performance,impressions,int64
paid_ads__basic_performance,installs,int64
paid_ads__basic_performance,likes,int64
paid_ads__basic_performance,link_clicks,int64
paid_ads__basic_performance,placement_id,string
paid_ads__basic_performance,post_click_conversions,int64
paid_ads__basic_performance,post_view_conversions,int64
paid_ads__basic_performance,posts,int64
paid_ads__basic_performance,purchase,int64
paid_ads__basic_performance,registrations,int64
paid_ads__basic_performance,revenue,int64
paid_ads__basic_performance,shares,int64
paid_ads__basic_performance,spend,int64
paid_ads__basic_performance,total_conversions,int64
paid_ads__basic_performance,video_views,int64
